userID,totalReceived,totalReactions
1,155,2
2,178,157
3,155,95
4,155,32
6,147,27
7,155,81
9,155,33
11,155,27
12,167,119
13,155,23
26,163,125
27,155,4
28,160,84
29,67,52
30,166,158
44,156,136
46,145,4
47,155,23
50,146,143
57,158,133
59,5,1
63,160,1
64,160,5
65,150,119
66,150,19
68,150,4
70,159,125
72,160,152
73,155,69
74,151,150
75,151,73
76,154,134
77,151,22
78,161,46
79,145,54
81,150,22
83,156,149
84,166,54
87,160,24
88,155,97
89,157,120
90,151,115
91,130,13
92,155,1
93,146,29
94,150,4
95,152,62
98,163,52
100,64,12
101,119,32
105,135,108
106,145,132
107,130,3
109,115,1
110,134,104
112,135,20
113,140,99
114,141,41
116,40,15
117,130,13
121,70,45
122,46,16
123,20,8
126,133,109
128,95,1
131,131,19
134,118,93
138,120,6
143,20,15
146,108,48
147,105,31
148,106,61
150,102,73
155,105,86
156,105,95
157,71,59
158,100,44
160,96,53
161,114,85
166,103,74
171,95,68
176,95,19
177,85,18
178,95,41
179,10,1
180,35,10
190,70,5
192,76,76
193,75,59
197,75,10
200,80,74
201,82,82
205,80,3
209,65,29
212,60,27
213,65,10
220,32,7
221,66,54
225,67,56
226,65,21
228,65,60
229,65,7
231,65,62
233,66,51
235,55,32
237,60,35
240,65,51
242,60,59
243,56,46
244,61,60
245,55,31
247,55,33
249,57,46
251,56,46
255,50,24
259,50,45
265,40,29
268,50,10
270,37,7
272,46,40
273,15,7
274,45,6
275,45,32
276,35,33
277,35,19
279,35,15
280,41,39
281,38,38
283,35,14
284,36,36
288,36,35
291,28,26
292,22,22
293,25,9
295,26,26
296,25,7
297,25,10
298,25,24
299,25,24
300,25,25
302,26,17
303,25,17
304,25,3
306,25,25
307,26,26
308,25,25
310,25,2
313,25,25
316,15,2
317,25,20
324,20,16
326,20,9
327,20,13
356,20,15
358,20,20
361,20,20
362,20,20
365,20,5
373,16,16
376,15,10
377,15,8
378,15,4
381,10,10
387,15,5
388,15,6
398,15,15
399,15,2
401,15,15
402,15,15
408,15,15
410,15,7
411,10,10
413,10,9
416,16,16
417,10,10
418,10,5
420,15,15
421,10,10
422,15,1
423,10,10
424,15,5
425,15,12
426,10,10
427,10,10
431,16,16
433,10,5
434,15,14
435,11,10
437,15,10
445,10,10
450,10,9
457,5,5
460,5,4
461,5,5
462,5,5
