UserID,TotalAmount
98,1032.04
2,872.13
50,840.64
12,763.28
106,762.59
90,673.9
74,669.2
113,643.06
155,595.7
166,518.39
89,473.73
76,460.97
83,456.6
221,435.34
62,431.62
28,425.92
200,405.25
75,397.68
126,395.96
272,360.2
70,359.64
92,344.21
72,325.9
206,296.55
84,295.1
67,295.0
231,294.6
95,292.81
81,291.0
30,271.96
275,267.65
110,261.82
160,261.8
29,254.2
146,250.0
78,249.35
410,246.86
79,241.74
117,240.54
208,240.5
228,223.4
134,210.34
7,206.99
158,198.36
387,192.0
222,187.81
243,184.7
104,174.1
259,172.3
108,167.1
141,167.0
156,154.39
107,150.0
11,148.0
416,147.18
47,146.63
10,143.5
147,141.2
65,140.5
86,139.29
162,135.78
68,130.81
265,127.0
57,125.34
148,124.56
77,122.9
161,118.68
73,117.6
408,116.23
177,114.4
304,111.96
101,111.45
209,111.45
288,110.54
219,108.85
105,108.0
237,106.01
16,105.4
9,103.26
413,98.89
198,98.0
436,98.0
362,96.47
291,93.96
212,91.0
235,90.0
26,87.75
195,87.15
317,86.05
220,85.66
373,83.9
278,83.26
179,82.84
192,82.69
171,79.82
445,79.7
276,78.92
88,76.93
59,74.12
173,73.34
201,70.35
4,69.85
178,69.0
239,68.64
295,67.0
274,66.75
112,66.47
119,64.9
230,63.59
298,63.01
225,57.73
193,57.4
44,57.35
375,57.28
233,57.0
121,56.94
176,55.0
122,52.43
6,52.0
144,50.5
175,44.41
277,43.08
324,42.91
213,42.29
251,40.32
66,38.84
292,38.6
279,38.24
203,32.28
273,32.17
27,32.0
42,30.99
260,29.9
190,29.0
3,28.24
191,26.69
437,25.89
93,25.53
139,24.5
313,23.5
13,22.75
138,22.6
450,20.17
226,20.0
285,20.0
269,19.83
316,18.0
64,16.9
142,9.6
169,9.0
