inbound_text_id,inbound_ text _date,reaction_type,outbound_text_id
6,6/3/2020 17:28,Loved,48
7,6/3/2020 17:28,Loved,31
8,6/3/2020 17:29,Loved,124
9,6/3/2020 17:29,Disliked,103
10,6/3/2020 17:29,Liked,38
11,6/3/2020 17:31,Loved,119
12,6/3/2020 17:31,Loved,112
13,6/3/2020 17:31,Loved,89
14,6/3/2020 17:31,Disliked,115
15,6/3/2020 17:31,Disliked,50
16,6/3/2020 17:32,Loved,92
17,6/3/2020 17:32,Disliked,9
18,6/3/2020 17:32,Loved,133
19,6/3/2020 17:32,Liked,108
20,6/3/2020 17:35,Disliked,122
21,6/3/2020 17:35,Liked,117
22,6/3/2020 17:35,Liked,68
23,6/3/2020 17:35,Disliked,67
24,6/3/2020 17:37,Loved,131
25,6/3/2020 17:37,Liked,94
26,6/3/2020 17:38,Loved,19
27,6/3/2020 17:38,Liked,114
28,6/3/2020 17:39,Disliked,102
34,6/3/2020 17:50,Loved,121
35,6/3/2020 17:50,Loved,6
36,6/3/2020 17:50,Loved,7
37,6/3/2020 17:50,Disliked,70
38,6/3/2020 17:50,Loved,86
46,6/3/2020 17:57,Liked,72
47,6/3/2020 17:57,Liked,120
48,6/3/2020 17:58,Liked,39
49,6/3/2020 17:58,Liked,77
60,6/3/2020 18:10,Liked,135
61,6/3/2020 18:22,Loved,22
62,6/3/2020 18:22,Liked,14
63,6/3/2020 18:22,Liked,64
64,6/3/2020 18:25,Liked,90
65,6/3/2020 18:25,Liked,123
66,6/3/2020 18:25,Liked,99
67,6/3/2020 18:25,Loved,88
68,6/3/2020 18:25,Loved,36
69,6/3/2020 18:46,Loved,25
70,6/3/2020 18:46,Liked,40
71,6/3/2020 18:47,Liked,84
72,6/3/2020 18:47,Liked,91
73,6/3/2020 18:47,Loved,80
74,6/3/2020 19:30,Liked,1
75,6/3/2020 19:31,Liked,2
77,6/3/2020 19:31,Disliked,3
83,6/3/2020 19:45,Liked,93
84,6/3/2020 19:45,Loved,47
93,6/3/2020 21:05,Liked,128
94,6/3/2020 21:05,Liked,32
95,6/3/2020 21:05,Liked,44
96,6/3/2020 21:22,Disliked,8
97,6/3/2020 21:22,Disliked,78
98,6/3/2020 21:22,Disliked,41
99,6/3/2020 21:23,Disliked,23
100,6/3/2020 21:24,Liked,137
106,6/3/2020 23:40,Loved,66
107,6/3/2020 23:40,Liked,134
108,6/3/2020 23:41,Loved,11
109,6/3/2020 23:41,Disliked,116
110,6/3/2020 23:41,Liked,100
117,6/4/2020 17:19,Loved,31
129,6/5/2020 14:17,Loved,31
130,6/5/2020 15:50,Disliked,165
131,6/5/2020 15:50,Loved,175
132,6/5/2020 16:36,Liked,168
133,6/5/2020 16:37,Disliked,142
134,6/5/2020 17:12,Loved,166
135,6/5/2020 17:12,Disliked,177
136,6/5/2020 17:12,Liked,148
137,6/5/2020 17:12,Loved,174
138,6/5/2020 17:12,Liked,145
139,6/5/2020 20:12,Disliked,146
140,6/5/2020 20:12,Liked,144
141,6/5/2020 20:12,Liked,171
142,6/5/2020 20:12,Disliked,152
143,6/5/2020 20:12,Liked,158
197,6/6/2020 13:37,Loved,57
198,6/6/2020 13:37,Loved,101
211,6/7/2020 20:13,Disliked,164
212,6/7/2020 20:13,Loved,172
213,6/7/2020 20:13,Disliked,143
214,6/7/2020 20:14,Loved,157
215,6/7/2020 20:14,Liked,139
229,6/8/2020 18:59,Disliked,233
231,6/8/2020 18:59,Disliked,155
233,6/8/2020 18:59,Liked,252
234,6/8/2020 19:00,Loved,149
243,6/8/2020 19:28,Liked,223
247,6/8/2020 20:29,Loved,248
248,6/8/2020 20:29,Liked,184
249,6/8/2020 20:29,Loved,201
250,6/8/2020 20:29,Liked,180
251,6/8/2020 21:54,Liked,247
252,6/8/2020 21:54,Loved,222
253,6/8/2020 21:54,Liked,214
254,6/8/2020 21:54,Loved,204
256,6/8/2020 22:40,Liked,234
257,6/8/2020 22:40,Liked,226
258,6/8/2020 22:46,Liked,189
259,6/8/2020 22:47,Disliked,200
261,6/9/2020 2:36,Liked,185
267,6/9/2020 2:36,Disliked,194
268,6/9/2020 2:37,Liked,250
269,6/9/2020 2:37,Loved,227
270,6/9/2020 2:37,Loved,255
272,6/9/2020 11:03,Disliked,211
273,6/9/2020 11:03,Disliked,206
274,6/9/2020 11:03,Liked,181
276,6/9/2020 11:03,Liked,256
278,6/9/2020 11:03,Liked,224
370,6/12/2020 12:14,Loved,201
371,6/12/2020 14:45,Loved,296
372,6/12/2020 14:45,Loved,308
373,6/12/2020 14:45,Loved,396
374,6/12/2020 14:50,Disliked,277
375,6/12/2020 14:50,Loved,374
376,6/12/2020 14:50,Loved,322
377,6/12/2020 14:50,Loved,416
378,6/12/2020 14:51,Loved,358
379,6/12/2020 14:51,Loved,519
380,6/12/2020 14:51,Loved,514
381,6/12/2020 14:51,Disliked,529
382,6/12/2020 14:51,Liked,363
383,6/12/2020 14:51,Disliked,328
384,6/12/2020 14:51,Disliked,486
385,6/12/2020 14:51,Disliked,501
386,6/12/2020 14:52,Liked,547
387,6/12/2020 14:52,Loved,259
388,6/12/2020 14:52,Liked,292
390,6/12/2020 14:57,Liked,330
391,6/12/2020 14:57,Liked,253
393,6/12/2020 14:57,Disliked,315
394,6/12/2020 14:58,Disliked,449
396,6/12/2020 15:11,Liked,404
397,6/12/2020 15:11,Disliked,554
398,6/12/2020 15:11,Liked,444
399,6/12/2020 15:11,Disliked,467
400,6/12/2020 15:11,Liked,549
401,6/12/2020 15:14,Liked,439
402,6/12/2020 15:15,Liked,426
403,6/12/2020 15:15,Liked,397
404,6/12/2020 15:15,Liked,539
405,6/12/2020 15:27,Liked,450
406,6/12/2020 15:28,Liked,349
407,6/12/2020 15:28,Loved,490
408,6/12/2020 15:28,Disliked,432
409,6/12/2020 15:28,Liked,338
410,6/12/2020 15:28,Liked,398
411,6/12/2020 15:28,Liked,536
412,6/12/2020 15:28,Liked,289
413,6/12/2020 15:29,Loved,541
414,6/12/2020 15:29,Liked,431
415,6/12/2020 16:07,Disliked,487
416,6/12/2020 16:07,Liked,367
417,6/12/2020 16:07,Liked,525
418,6/12/2020 16:07,Liked,522
419,6/12/2020 16:07,Disliked,408
420,6/12/2020 16:24,Liked,530
421,6/12/2020 16:24,Disliked,337
422,6/12/2020 16:24,Loved,466
423,6/12/2020 16:24,Liked,456
424,6/12/2020 16:24,Disliked,392
425,6/12/2020 16:36,Liked,336
426,6/12/2020 16:36,Liked,515
427,6/12/2020 16:37,Loved,494
428,6/12/2020 16:38,Loved,282
429,6/12/2020 16:38,Loved,393
430,6/12/2020 16:42,Loved,296
431,6/12/2020 16:44,Loved,417
432,6/12/2020 16:44,Loved,425
433,6/12/2020 16:45,Loved,290
434,6/12/2020 16:49,Loved,275
435,6/12/2020 16:50,Loved,270
436,6/12/2020 16:50,Loved,552
437,6/12/2020 16:50,Loved,370
438,6/12/2020 16:50,Liked,553
439,6/12/2020 17:29,Disliked,375
440,6/12/2020 17:29,Liked,332
441,6/12/2020 17:29,Disliked,521
442,6/12/2020 17:29,Liked,340
443,6/12/2020 17:34,Loved,385
444,6/12/2020 17:35,Loved,424
445,6/12/2020 17:35,Loved,331
446,6/12/2020 17:35,Loved,407
447,6/12/2020 17:35,Loved,361
448,6/12/2020 17:37,Disliked,459
449,6/12/2020 17:38,Loved,480
450,6/12/2020 17:38,Loved,333
451,6/12/2020 21:14,Liked,461
452,6/12/2020 21:14,Liked,462
453,6/12/2020 21:14,Liked,347
454,6/12/2020 21:14,Liked,293
455,6/12/2020 21:14,Liked,298
457,6/13/2020 12:52,Loved,357
458,6/13/2020 15:17,Disliked,341
463,6/13/2020 22:04,Loved,281
464,6/13/2020 22:04,Liked,509
465,6/13/2020 22:04,Liked,307
467,6/13/2020 22:04,Liked,356
468,6/13/2020 22:04,Disliked,532
469,6/14/2020 12:09,Loved,447
470,6/14/2020 12:09,Liked,402
471,6/14/2020 12:09,Disliked,533
472,6/14/2020 12:09,Loved,524
473,6/14/2020 12:09,Loved,295
484,6/15/2020 15:29,Loved,557
485,6/15/2020 16:09,Loved,308
486,6/15/2020 16:09,Loved,396
487,6/15/2020 20:08,Loved,650
488,6/15/2020 20:08,Loved,723
489,6/15/2020 20:09,Liked,675
490,6/15/2020 20:48,Liked,590
491,6/15/2020 20:48,Loved,715
492,6/15/2020 20:48,Disliked,585
493,6/15/2020 20:48,Disliked,704
494,6/15/2020 20:48,Liked,711
495,6/15/2020 20:54,Liked,598
496,6/15/2020 20:54,Liked,606
497,6/15/2020 20:54,Liked,748
498,6/15/2020 20:55,Loved,596
500,6/15/2020 20:56,Loved,599
501,6/15/2020 20:56,Liked,613
505,6/15/2020 20:56,Loved,610
506,6/15/2020 20:56,Loved,613
507,6/15/2020 20:57,Loved,721
508,6/15/2020 20:57,Disliked,620
510,6/15/2020 20:57,Liked,621
511,6/15/2020 20:57,Liked,593
513,6/15/2020 20:57,Liked,672
514,6/15/2020 20:57,Liked,730
515,6/15/2020 20:57,Loved,564
516,6/15/2020 21:11,Liked,577
517,6/15/2020 21:11,Loved,731
518,6/15/2020 21:11,Liked,611
519,6/15/2020 21:11,Loved,634
520,6/15/2020 21:11,Liked,717
521,6/15/2020 21:11,Loved,739
522,6/15/2020 21:11,Loved,591
523,6/15/2020 21:11,Liked,671
524,6/15/2020 21:11,Liked,574
525,6/15/2020 21:11,Loved,694
531,6/15/2020 21:34,Loved,534
532,6/15/2020 21:34,Disliked,470
533,6/15/2020 21:35,Disliked,261
535,6/15/2020 21:35,Disliked,607
536,6/15/2020 21:35,Liked,437
537,6/15/2020 21:35,Liked,474
542,6/15/2020 21:36,Disliked,681
543,6/15/2020 21:36,Disliked,743
544,6/15/2020 21:36,Disliked,664
545,6/15/2020 21:37,Liked,646
549,6/15/2020 21:43,Loved,642
550,6/15/2020 21:43,Loved,708
551,6/15/2020 21:51,Liked,570
552,6/15/2020 21:51,Liked,696
553,6/15/2020 21:51,Disliked,700
554,6/15/2020 21:51,Liked,648
559,6/15/2020 22:35,Disliked,560
560,6/15/2020 22:36,Liked,623
561,6/15/2020 22:36,Loved,738
562,6/15/2020 22:37,Loved,670
563,6/15/2020 22:37,Disliked,720
564,6/15/2020 22:46,Loved,656
565,6/15/2020 22:46,Liked,714
566,6/15/2020 22:46,Disliked,692
567,6/15/2020 22:46,Liked,697
568,6/15/2020 22:46,Disliked,719
569,6/15/2020 22:52,Liked,327
570,6/15/2020 22:52,Disliked,452
571,6/15/2020 22:52,Disliked,531
572,6/15/2020 22:52,Liked,468
573,6/15/2020 22:53,Liked,493
574,6/15/2020 23:04,Loved,680
575,6/15/2020 23:04,Loved,678
576,6/15/2020 23:04,Loved,647
577,6/15/2020 23:05,Loved,631
578,6/15/2020 23:51,Liked,679
579,6/15/2020 23:51,Disliked,605
580,6/15/2020 23:51,Loved,658
581,6/15/2020 23:51,Loved,732
582,6/15/2020 23:51,Liked,666
583,6/16/2020 0:06,Loved,744
584,6/16/2020 0:07,Disliked,705
585,6/16/2020 0:07,Loved,633
586,6/16/2020 0:07,Disliked,690
587,6/16/2020 1:15,Disliked,662
588,6/16/2020 1:15,Disliked,608
589,6/16/2020 1:15,Loved,657
590,6/16/2020 1:15,Loved,559
591,6/16/2020 1:15,Loved,579
595,6/16/2020 7:07,Liked,421
596,6/16/2020 7:07,Liked,517
597,6/16/2020 7:07,Liked,527
598,6/16/2020 7:07,Liked,433
600,6/16/2020 7:51,Loved,625
605,6/16/2020 17:05,Loved,758
607,6/16/2020 19:28,Liked,622
608,6/16/2020 19:28,Liked,612
609,6/16/2020 19:28,Disliked,685
610,6/16/2020 19:28,Disliked,587
611,6/16/2020 19:28,Disliked,575
612,6/17/2020 8:15,Loved,567
613,6/17/2020 8:15,Liked,639
614,6/17/2020 8:16,Disliked,668
615,6/17/2020 8:16,Liked,629
616,6/17/2020 8:16,Disliked,573
617,6/18/2020 12:58,Disliked,863
618,6/18/2020 12:58,Liked,921
619,6/18/2020 12:58,Disliked,1050
620,6/18/2020 12:59,Liked,767
621,6/18/2020 12:59,Disliked,811
622,6/18/2020 12:59,Liked,780
623,6/18/2020 12:59,Disliked,1030
624,6/18/2020 13:01,Liked,980
625,6/18/2020 13:01,Loved,876
626,6/18/2020 13:01,Disliked,1027
627,6/18/2020 13:01,Loved,1015
628,6/18/2020 13:01,Loved,931
629,6/18/2020 13:02,Liked,848
630,6/18/2020 13:02,Liked,900
631,6/18/2020 13:02,Liked,888
632,6/18/2020 13:02,Loved,900
633,6/18/2020 13:02,Disliked,1073
634,6/18/2020 13:02,Liked,1047
635,6/18/2020 13:02,Loved,985
636,6/18/2020 13:02,Liked,919
637,6/18/2020 13:05,Liked,750
638,6/18/2020 13:06,Liked,893
639,6/18/2020 13:06,Disliked,782
640,6/18/2020 13:06,Loved,1036
641,6/18/2020 13:06,Loved,788
642,6/18/2020 13:06,Loved,1093
643,6/18/2020 13:16,Liked,1033
644,6/18/2020 13:16,Liked,979
645,6/18/2020 13:16,Liked,774
646,6/18/2020 13:16,Liked,889
647,6/18/2020 13:16,Liked,822
648,6/18/2020 13:16,Liked,1002
649,6/18/2020 13:17,Disliked,768
650,6/18/2020 13:17,Disliked,958
651,6/18/2020 13:17,Loved,862
652,6/18/2020 13:17,Liked,806
653,6/18/2020 13:23,Disliked,850
654,6/18/2020 13:23,Disliked,1048
659,6/18/2020 13:37,Loved,673
660,6/18/2020 13:37,Loved,683
661,6/18/2020 13:50,Liked,841
